customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
116876,PAKISTAN P S,LIAQUAT PUR,RAHIM YAR KHAN,BWP,PUNJAB,"MAUZA HAYAT LAR, SHAHI ROAD FEROZA, LIAQUAT PUR DISTT RAHIM YAR KHAN",28.7840278,70.818612,3
102427,GREEN VALLEY PET SER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,MOUZA MOOSA KANJOOKHANPUR R.Y.KHAN,28.61234,70.60821,4
102435,AL-RAIS PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR SARDAR GARH RDMOUZA PIRAN BALUCHRAHIM-YAR-,28.67146,70.52868,3
116920,GILLANI PET SERVICE,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,MO WAHID BAKHSH SAYALNEAR JETHA BHUTTAR YAR KHAN,28.69574,70.75149,3
116585,AL MADINA F/S,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR BAGHO BHAR RDMZ SHAH MOHD MARRALR.YAR-KHAN,28.60425,70.65623,2
116925,AHMAD PS,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR BYEPASS ROADMOUZA KATACHI JAMALRAHIMYARKHA,28.65761,70.67177,3
102448,SHANDAR PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR FEROZA ROADMOUZA FEROZAR.Y.KHAN,28.76017,70.80208,4
102450,BISMILLAH PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR/BAGHOBAHAR RDMOZ NEAL GARH KHANPURRAHIMYAR,28.63361,70.65842,4
102463,BUKHARI FILL STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KHANPUR-NAWAKOT ROADMOUZA LALOORAHIMYARKHAN,28.69346,70.65835,3
117099,MUNIR & SONS,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,"SHAHI ROAD, MAUZA HAKRA TEHSIL KHAN PUR, DISTRICT RAHIM YAR KHAN",28.63663,70.63571,4
116825,BUKHARI FILLING STATION,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,KM726-727BN.H.WAYMOUZA CHANJNIRAHIMYARKHAN,28.90861,70.68261,3
112202,FOUR STAR F/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,"KM 704-705, KLP ROAD, MOUZA MOSAIB  LOLAI",28.78354,70.51364,3
103738,ALI KHAN PETROLEUM,RAHIMYARKHAN II,BAHAWALPUR,BWP,PUNJAB,KM 738-739 OF N.H.WAYAT MOUZA RUM TEHSILLIAQUATPUR,28.98773,70.76622,3
119534,RAJA PETROLEUM SERVICE,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,RAILWAY ROAD  MODEL TOWN-A BAHAWALPUR,29.4008849,71.6550891,5
102633,NATIONAL AUTOS,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,MANDI HASILPURDISTT BAHAWALPUR,29.70061,72.55419,3
102635,MANZIL TRUCKING STN,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,BHAWALPURDISTT BAHAWALPUR,29.36405,71.62785,3
119615,KHALID MODERN FILLING STATION,HASILPUR,BAHAWALPUR,BWP,PUNJAB,"KM-4, VEHARI ROAD HASILPUR BAHAWALPUR",29.70914,72.55281,4
